case_id,suite,pattern,stage,film,paper,reference_status,metal_status,max_abs,p99_abs,p95_abs,mean_abs,rmse,nrmse,psnr,ssim,mean_ref,mean_actual,std_ref,std_actual,mean_abs_delta,std_abs_delta,power_similarity,threshold_scale,status
quick__hard_edge__print_log_raw,non_spatial,hard_edge,print_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,1.245434498864384e-07,1.245434498864384e-07,1.245434498864384e-07,6.490483549688915e-08,7.423918557950535e-08,9.196646098544776e-08,140.7274105106127,1.000000000000034,0.030250657405564665,0.030250648657480877,0.36708352153400753,0.3670834993440108,8.7480837886178e-09,2.218999672898292e-08,nan,0.9,PASSED
quick__hard_edge__print_density_cmy,non_spatial,hard_edge,print_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,3.8105825006518046e-07,3.8105825006518046e-07,3.8105825006518046e-07,1.062407898414867e-07,1.6405424305015992e-07,9.363524581939973e-08,140.5712129005369,1.000000000000049,0.8426526206561686,0.842652560522159,0.7350121913131652,0.7350121192429447,6.013400966065063e-08,7.20702204581869e-08,nan,0.9,PASSED
quick__hard_edge__final_linear_rgb,non_spatial,hard_edge,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,2.513048356078684e-07,2.513048356078684e-07,2.513048356078684e-07,1.1691660641716117e-07,1.6396472399133115e-07,2.7529117906635493e-07,131.20415408264424,0.9999999999998579,0.30050469130167723,0.30050457672526437,0.2863890271213626,0.28638891032768077,1.1457641285739228e-07,1.1679368183692418e-07,nan,0.9,PASSED
quick__impulse_highlight__halation_final,spatial,impulse_highlight,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.20508581911357324,1.7485955267071418e-08,1.7485955267071418e-08,2.219145251664858e-06,0.000499094056787357,0.0006193869468684033,64.16075902649318,0.9999906252564842,0.006906765994094035,0.006908951316768806,0.003113396754009394,0.003352296218819166,2.185322674770618e-06,0.00023889946480977215,nan,0.9,PASSED
quick__hard_edge__camera_diffusion_final,spatial,hard_edge,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.009183305205405584,0.000844870157054034,2.5172861847555517e-05,3.768973098507383e-05,0.00031871122171069294,0.0005351052706376883,65.4312154265029,0.9999828471250645,0.30063266002896527,0.30064102052367364,0.2860010438504987,0.28596835202141285,8.360494708370414e-06,3.269182908582913e-05,nan,0.9,PASSED
quick__hard_edge__print_diffusion_final,spatial,hard_edge,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.014142627009388509,0.001910984587469522,2.9243742836193576e-05,7.521652922369782e-05,0.0006582803577013756,0.0011052302679289388,59.130944599350165,0.9999856515724453,0.29943830516498526,0.2993825999205405,0.2854879938249159,0.2854534821989763,5.5705244444759217e-05,3.451162593959278e-05,nan,0.9,PASSED
quick__slanted_edge__scanner_glare_final,spatial,slanted_edge,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.1110711689279309,2.513048356078684e-07,2.513048356078684e-07,8.103998078507882e-05,0.0022847063313867298,0.003178115149877684,49.95660742859862,0.999725231386702,0.3720416918517222,0.3719942124647074,0.27746485222839806,0.2773840049002793,4.747938701482601e-05,8.08473281187494e-05,nan,0.9,PASSED
quick__spatial_stress__dir_final,spatial,spatial_stress,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.0028485166420169628,0.0004708129353193628,0.00030568697769089444,0.00012193074943411738,0.00015556121358332594,0.0001976757462673073,74.08093225949635,0.9999848255685863,0.39706818562453766,0.397073289751867,0.13395871003847448,0.13397429971008512,5.1041273293472855e-06,1.558967161063851e-05,nan,0.9,PASSED
quick__spatial_stress__combined_no_grain_final,combined,spatial_stress,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.04672563389873863,0.008014541751918864,0.004558493291974443,0.0010177589620335946,0.0019276460961244193,0.0024546288612110542,52.200283274183874,0.99776358267254,0.40026296417005497,0.4003276632027048,0.1291180495699479,0.12895567413853912,6.469903264982868e-05,0.00016237543140878996,nan,0.9,PASSED
quick__spatial_stress__combined_pipeline_final,combined_stochastic,spatial_stress,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,0.10494196451767418,0.04388688478772612,0.031181999910991052,0.012007466447591656,0.015520000802262693,0.019612314816481128,34.14942288167319,0.7703608889289679,0.40027719255514915,0.3983560930607781,0.12962022005491444,0.12899551622629105,0.0019210994943710258,0.0006247038286233964,0.9999987830595782,0.9,PASSED
quick__log_gray_ramp__production_grain_density,grain,log_gray_ramp,film_density_cmy_grain,kodak_portra_400,kodak_portra_endura,generated,OK,0.16649857898548243,0.06093375169936066,0.04152726166140868,0.015216480602417167,0.020235413122263495,0.009539772120335525,40.40923998613369,0.9120305902357934,0.7876917321795085,0.7865832990184016,0.5915501055207865,0.5903850749180526,0.0011084331611068698,0.0011650306027338742,0.9999999904877719,0.9,PASSED
