candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,enlarged-production-grain,3840,2160,191.308,200.757,-4.706685196531136,1.049391557070274,12.0,12.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain-no-sublayers,3840,2160,102.166,105.885,-3.512301081361863,1.0364015425875537,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain-no-blur,3840,2160,80.231,80.605,-0.4639910675516524,1.0046615398038166,7.0,7.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,auto-exposure,3840,2160,33.056,33.098,-0.1268958849477358,1.0012705711519845,4.0,4.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,halation-only,3840,2160,126.588,130.745,-3.1794714903055645,1.032838815685531,21.0,21.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,halation-boost,3840,2160,132.249,132.673,-0.3195827334876023,1.0032060733918593,24.0,24.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,camera-diffusion-only,3840,2160,1949.243,2097.005,-7.04633513034066,1.0758048124323136,34.0,60.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,print-diffusion-only,3840,2160,1943.502,2098.424,-7.38277869486815,1.0797128070874122,35.0,61.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,dir-only,3840,2160,267.255,268.962,-0.6346621455819014,1.0063871583319302,8.0,8.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,scanner-only,3840,2160,25.198,26.876,-6.243488614377142,1.0665925867132313,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,scanner-glare,3840,2160,39.474,40.574,-2.711095775619859,1.0278664437351168,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,all-effects,3840,2160,2344.464,2512.988,-6.706120363487606,1.07188167529977,57.0,83.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,1,default-final,1920,1080,15.409,15.433,-0.1555109181623737,1.001557531312869,5.0,5.0,0.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,1,production-grain,1920,1080,46.721,46.242,1.0358548505687455,0.989747650949252,11.0,11.0,0.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,48.202,48.103,0.20580836954035434,0.9979461433135556,12.0,12.0,0.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
